ad75e2,2024-12-13 16:46:17,OPEN,,
6c201b,2024-12-13 16:46:38,DOWN,charger,
347bd6,2024-12-13 16:47:05,TEST,charger,0
3cdd82,2024-12-13 17:34:37,TEST,charger,0
71cd18,2024-12-13 17:34:38,TEST,charger,0
fc7880,2024-12-13 17:35:16,TEST,charger,5
d5d160,2024-12-13 17:37:03,TEST,charger,COMP
417fd2,2024-12-13 17:37:15,TEST,charger,5
c38eeb,2024-12-13 17:37:42,TEST,charger,5
3f5fb4,2024-12-13 17:38:02,OPEN,,
8a1608,2024-12-13 17:38:06,TEST,charger,5
47ab00,2024-12-13 17:38:49,TEST,charger,5
2bd8f6,2024-12-13 17:39:31,TEST,charger,5
109835,2024-12-13 17:39:40,TEST,charger,10
5ca1c0,2024-12-13 17:43:04,TEST,charger,10
54dc7e,2024-12-13 17:43:34,TEST,charger,10
6fd428,2024-12-13 17:43:54,TEST,charger,10
748dbf,2024-12-13 17:44:56,TEST,charger,10
6a6fed,2024-12-13 17:45:32,TEST,charger,15
ad4b37,2024-12-13 17:51:33,TEST,charger,15
947aa3,2024-12-13 17:53:30,TEST,charger,0
d139c1,2024-12-13 17:57:06,TEST,charger,0
4ec73a,2024-12-13 17:58:37,TEST,charger,0
e521f0,2024-12-13 17:59:05,TEST,charger,0
71a039,2024-12-13 18:03:15,TEST,charger,15
8ac64d,2024-12-13 18:13:04,TEST,charger,15
4d0504,2024-12-13 18:16:48,TEST,charger,15
029837,2024-12-13 18:17:08,TEST,charger,20
a94825,2024-12-13 18:21:17,TEST,charger,20
09ca6b,2024-12-13 18:22:26,TEST,charger,20
1cd941,2024-12-13 18:24:31,TEST,charger,20
2025c0,2024-12-13 18:25:31,TEST,charger,20
bb9d45,2024-12-13 18:25:43,TEST,charger,25
763d47,2024-12-13 18:26:25,TEST,charger,30
